instruction,input,output,senseid,identified_tags,meaning
You are a linguistic assistant. Given a sentence with an ambiguous word marked with <WSD> tags ; identify its correct meaning using proper reasoning chain of thought process. ,"'driving forces' is the word to be disambiguated in the sentence . Think step by step and do a proper reasoning to identiy  the meaning. The sentence is : ' The ions transport through the fuel cell electrolytes under the influence of both electrical potential gradient and concentration gradient as the <WSD>driving forces</WSD>. '  The possible meanings with senseID are: ('driving_force.noun.0', 'Impetus; a person or thing that causes, stimulates, or motivates something to happen.'), ('driving_force.noun.1', 'The force that causes something to move or a physical process to occur.')","Let's think step by step. 1. The ambiguous word is: <WSD>driving forces</WSD>. 2. The possible meanings of ""driving forces"" are: ('driving_force.noun.0', 'Impetus; a person or thing that causes, stimulates, or motivates something to happen.'), ('driving_force.noun.1', 'The force that causes something to move or a physical process to occur.') 3. Now, let’s analyze the context of the sentence. The words surrounding ""driving forces"" that are semantically related and can help identify its intended meaning are:    'transport', 'fuel', 'influence', 'potential', 'gradient' 4. Based on the surrounding words and overall meaning, the correct sense is:""driving_force.noun.1"":"" The force that causes something to move or a physical process to occur."",  ",driving_force.noun.1,"'transport', 'fuel', 'influence', 'potential', 'gradient'""","('driving_force.noun.0', 'Impetus; a person or thing that causes, stimulates, or motivates something to happen.'), ('driving_force.noun.1', 'The force that causes something to move or a physical process to occur.')"
You are a linguistic assistant. Given a sentence with an ambiguous word marked with <WSD> tags ; identify its correct meaning using proper reasoning chain of thought process. ,"'Christian' is the word to be disambiguated in the sentence . Think step by step and do a proper reasoning to identiy  the meaning. The sentence is : ' I have only been at home two days, and here I am come on the third to see you and Tiny, so it is not <WSD>Christian</WSD> of you — as my mother would say — to receive your dutiful grand-nephew in such an unkind manner... '  The possible meanings with senseID are: ('christian.adjective.0', 'Of, like or relating to Christianity or Christians.'), ('christian.adjective.1', 'Of, like or relating to Jesus Christ.'), ('christian.adjective.2', 'Kind, charitable; moral; (a term of approbation).')","Let's think step by step. 1. The ambiguous word is: <WSD>Christian</WSD>. 2. The possible meanings of ""Christian"" are: ('christian.adjective.0', 'Of, like or relating to Christianity or Christians.'), ('christian.adjective.1', 'Of, like or relating to Jesus Christ.'), ('christian.adjective.2', 'Kind, charitable; moral; (a term of approbation).') 3. Now, let’s analyze the context of the sentence. The words surrounding ""Christian"" that are semantically related and can help identify its intended meaning are:    'mother', 'home', 'unkind', 'nephew', 'come' 4. Based on the surrounding words and overall meaning, the correct sense is:""christian.adjective.2"":"" Kind, charitable; moral; (a term of approbation)."",  ",christian.adjective.2,"'mother', 'home', 'unkind', 'nephew', 'come'""","('christian.adjective.0', 'Of, like or relating to Christianity or Christians.'), ('christian.adjective.1', 'Of, like or relating to Jesus Christ.'), ('christian.adjective.2', 'Kind, charitable; moral; (a term of approbation).')"
You are a linguistic assistant. Given a sentence with an ambiguous word marked with <WSD> tags ; identify its correct meaning using proper reasoning chain of thought process. ,"'lit up' is the word to be disambiguated in the sentence . Think step by step and do a proper reasoning to identiy  the meaning. The sentence is : ' The deafening claps of thunder and the dazzling flashes of lightning which <WSD>lit up</WSD> the ghastly scene testified that the artillery of heaven had lent its supernatural pomp to the already gruesome spectacle. '  The possible meanings with senseID are: ('light_up.verb.0', 'To illuminate, to bring light to something, to brighten.'), ('light_up.verb.1', 'To show an increase in activity or a brightening of mood.'), ('light_up.verb.2', 'To light a cigarette, pipe(,) etc.'), ('light_up.verb.3', 'To make happy.'), ('light_up.verb.4', 'To open fire on a target or group of targets.'), ('light_up.verb.5', 'To shock (someone) with a stun gun.'), ('light_up.verb.6', 'To loosen, slacken(,) or ease off.')","Let's think step by step. 1. The ambiguous word is: <WSD>lit up</WSD>. 2. The possible meanings of ""lit up"" are: ('light_up.verb.0', 'To illuminate, to bring light to something, to brighten.'), ('light_up.verb.1', 'To show an increase in activity or a brightening of mood.'), ('light_up.verb.2', 'To light a cigarette, pipe(,) etc.'), ('light_up.verb.3', 'To make happy.'), ('light_up.verb.4', 'To open fire on a target or group of targets.'), ('light_up.verb.5', 'To shock (someone) with a stun gun.'), ('light_up.verb.6', 'To loosen, slacken(,) or ease off.') 3. Now, let’s analyze the context of the sentence. The words surrounding ""lit up"" that are semantically related and can help identify its intended meaning are:    'dazzling', 'lightning', 'flashes', 'ghastly', 'claps' 4. Based on the surrounding words and overall meaning, the correct sense is:""light_up.verb.0"":"" To illuminate, to bring light to something, to brighten."",  ",light_up.verb.0,"'dazzling', 'lightning', 'flashes', 'ghastly', 'claps'""","('light_up.verb.0', 'To illuminate, to bring light to something, to brighten.'), ('light_up.verb.1', 'To show an increase in activity or a brightening of mood.'), ('light_up.verb.2', 'To light a cigarette, pipe(,) etc.'), ('light_up.verb.3', 'To make happy.'), ('light_up.verb.4', 'To open fire on a target or group of targets.'), ('light_up.verb.5', 'To shock (someone) with a stun gun.'), ('light_up.verb.6', 'To loosen, slacken(,) or ease off.')"
You are a linguistic assistant. Given a sentence with an ambiguous word marked with <WSD> tags ; identify its correct meaning using proper reasoning chain of thought process. ,"'baggage' is the word to be disambiguated in the sentence . Think step by step and do a proper reasoning to identiy  the meaning. The sentence is : ' Shall we ask this <WSD>baggage</WSD> to sit down or shall we just throw her out of the window? '  The possible meanings with senseID are: ['('baggage.noun.0', 'Luggage; traveling equipment'), ('baggage.noun.1', ""Factors, especially psychological ones, which interfere with a person's ability to function effectively.""), ('baggage.noun.2', 'A woman.'), ('baggage.noun.3', ""An army's portable equipment; its baggage train."")']","Let's think step by step. 1. The ambiguous word is: <WSD>baggage</WSD>. 2. The possible meanings of ""baggage"" are: ('baggage.noun.0', 'Luggage; traveling equipment'), ('baggage.noun.1', ""Factors, especially psychological ones, which interfere with a person's ability to function effectively.""), ('baggage.noun.2', 'A woman.'), ('baggage.noun.3', ""An army's portable equipment; its baggage train."") 3. Now, let’s analyze the context of the sentence. The words surrounding ""baggage"" that are semantically related and can help identify its intended meaning are:    'throw', 'sit', 'ask', 'Shall', 'shall' 4. Based on the surrounding words and overall meaning, the correct sense is:""baggage.noun.2"":"" A woman."",  ",baggage.noun.2,"'throw', 'sit', 'ask', 'Shall', 'shall'""","['('baggage.noun.0', 'Luggage; traveling equipment'), ('baggage.noun.1', ""Factors, especially psychological ones, which interfere with a person's ability to function effectively.""), ('baggage.noun.2', 'A woman.'), ('baggage.noun.3', ""An army's portable equipment; its baggage train."")']"
You are a linguistic assistant. Given a sentence with an ambiguous word marked with <WSD> tags ; identify its correct meaning using proper reasoning chain of thought process. ,"'lolicon' is the word to be disambiguated in the sentence . Think step by step and do a proper reasoning to identiy  the meaning. The sentence is : ' the whole gamut of <WSD>lolicon</WSD> and girls-with-guns genres '  The possible meanings with senseID are: ('lolicon.noun.0', 'The sexual attraction to young girls.'), ('lolicon.noun.1', 'An individual fixated on young, generally prepubescent, girls.'), ('lolicon.noun.2', 'Erotic or suggestive art depicting prepubescent females.')","Let's think step by step. 1. The ambiguous word is: <WSD>lolicon</WSD>. 2. The possible meanings of ""lolicon"" are: ('lolicon.noun.0', 'The sexual attraction to young girls.'), ('lolicon.noun.1', 'An individual fixated on young, generally prepubescent, girls.'), ('lolicon.noun.2', 'Erotic or suggestive art depicting prepubescent females.') 3. Now, let’s analyze the context of the sentence. The words surrounding ""lolicon"" that are semantically related and can help identify its intended meaning are:    'gamut', 'genres', 'guns', 'girls' 4. Based on the surrounding words and overall meaning, the correct sense is:""lolicon.noun.2"":"" Erotic or suggestive art depicting prepubescent females."",  ",lolicon.noun.2,"'gamut', 'genres', 'guns', 'girls'""","('lolicon.noun.0', 'The sexual attraction to young girls.'), ('lolicon.noun.1', 'An individual fixated on young, generally prepubescent, girls.'), ('lolicon.noun.2', 'Erotic or suggestive art depicting prepubescent females.')"
You are a linguistic assistant. Given a sentence with an ambiguous word marked with <WSD> tags ; identify its correct meaning using proper reasoning chain of thought process. ,"'unhyphenated Canadians' is the word to be disambiguated in the sentence . Think step by step and do a proper reasoning to identiy  the meaning. The sentence is : ' Early on Trudeau scorned the idea of making everyone ""good, clean, <WSD>unhyphenated Canadians</WSD>,"" and the Reform is explicitly opposed to the Trudeau government's bilingual and multicultural programs. '  The possible meanings with senseID are: ('unhyphenated.adjective.0', 'Lacking a (hyphen).'), ('unhyphenated.adjective.1', 'Of people, belonging to a single ethnicity or nationality: names for multi-ethnic/multi-nationality groups generally require a hyphen to connect the names being combined.')","Let's think step by step. 1. The ambiguous word is: <WSD>unhyphenated Canadians</WSD>. 2. The possible meanings of ""unhyphenated Canadians"" are: ('unhyphenated.adjective.0', 'Lacking a (hyphen).'), ('unhyphenated.adjective.1', 'Of people, belonging to a single ethnicity or nationality: names for multi-ethnic/multi-nationality groups generally require a hyphen to connect the names being combined.') 3. Now, let’s analyze the context of the sentence. The words surrounding ""unhyphenated Canadians"" that are semantically related and can help identify its intended meaning are:    'Trudeau', 'Trudeau', 'multicultural', 'bilingual', 'clean' 4. Based on the surrounding words and overall meaning, the correct sense is:""unhyphenated.adjective.1"":"" Of people, belonging to a single ethnicity or nationality: names for multi-ethnic/multi-nationality groups generally require a hyphen to connect the names being combined."",  ",unhyphenated.adjective.1,"'Trudeau', 'Trudeau', 'multicultural', 'bilingual', 'clean'""","('unhyphenated.adjective.0', 'Lacking a (hyphen).'), ('unhyphenated.adjective.1', 'Of people, belonging to a single ethnicity or nationality: names for multi-ethnic/multi-nationality groups generally require a hyphen to connect the names being combined.')"
You are a linguistic assistant. Given a sentence with an ambiguous word marked with <WSD> tags ; identify its correct meaning using proper reasoning chain of thought process. ,"'scintillates' is the word to be disambiguated in the sentence . Think step by step and do a proper reasoning to identiy  the meaning. The sentence is : ' There it no other word to describe it; the book <WSD>scintillates</WSD>. It moves with a rush and a sweep that carry the reader along like a chip on the current of the Niagara rapids. '  The possible meanings with senseID are: ('scintillate.verb.0', 'To give off sparks; to shine as if emanating sparks; to twinkle or glow.'), ('scintillate.verb.1', 'Of a star or other celestial body: to vary rapidly in brightness; to twinkle.'), ('scintillate.verb.2', 'Especially of a phosphor: to emit a flash of light upon absorbing ionizing radiation.'), ('scintillate.verb.3', 'To throw off like sparks.')","Let's think step by step. 1. The ambiguous word is: <WSD>scintillates</WSD>. 2. The possible meanings of ""scintillates"" are: ('scintillate.verb.0', 'To give off sparks; to shine as if emanating sparks; to twinkle or glow.'), ('scintillate.verb.1', 'Of a star or other celestial body: to vary rapidly in brightness; to twinkle.'), ('scintillate.verb.2', 'Especially of a phosphor: to emit a flash of light upon absorbing ionizing radiation.'), ('scintillate.verb.3', 'To throw off like sparks.') 3. Now, let’s analyze the context of the sentence. The words surrounding ""scintillates"" that are semantically related and can help identify its intended meaning are:    'moves', 'current', 'describe', 'Niagara', 'word' 4. Based on the surrounding words and overall meaning, the correct sense is:""scintillate.verb.0"":"" To give off sparks; to shine as if emanating sparks; to twinkle or glow."",  ",scintillate.verb.0,"'moves', 'current', 'describe', 'Niagara', 'word'""","('scintillate.verb.0', 'To give off sparks; to shine as if emanating sparks; to twinkle or glow.'), ('scintillate.verb.1', 'Of a star or other celestial body: to vary rapidly in brightness; to twinkle.'), ('scintillate.verb.2', 'Especially of a phosphor: to emit a flash of light upon absorbing ionizing radiation.'), ('scintillate.verb.3', 'To throw off like sparks.')"
You are a linguistic assistant. Given a sentence with an ambiguous word marked with <WSD> tags ; identify its correct meaning using proper reasoning chain of thought process. ,"'milieus' is the word to be disambiguated in the sentence . Think step by step and do a proper reasoning to identiy  the meaning. The sentence is : ' Certain <WSD>milieus</WSD> are described as cosmopolitan. Typically these are artistic, intellectual and bohemian <WSD>milieus</WSD>, but also the world of international business and high finance, and some mafias and underworlds. '  The possible meanings with senseID are: ('milieu.noun.0', 'Medium.'), ('milieu.noun.1', 'Social setting or environment.')","Let's think step by step. 1. The ambiguous word is: <WSD>milieus</WSD>. 2. The possible meanings of ""milieus"" are: ('milieu.noun.0', 'Medium.'), ('milieu.noun.1', 'Social setting or environment.') 3. Now, let’s analyze the context of the sentence. The words surrounding ""milieus"" that are semantically related and can help identify its intended meaning are:    'bohemian', 'mafias', 'cosmopolitan', 'artistic', 'underworlds' 4. Based on the surrounding words and overall meaning, the correct sense is:""milieu.noun.1"":"" Social setting or environment."",  ",milieu.noun.1,"'bohemian', 'mafias', 'cosmopolitan', 'artistic', 'underworlds'""","('milieu.noun.0', 'Medium.'), ('milieu.noun.1', 'Social setting or environment.')"
You are a linguistic assistant. Given a sentence with an ambiguous word marked with <WSD> tags ; identify its correct meaning using proper reasoning chain of thought process. ,"'Moon shot' is the word to be disambiguated in the sentence . Think step by step and do a proper reasoning to identiy  the meaning. The sentence is : ' The first Air Force <WSD>Moon shot</WSD> would be attempted in August [1958] with w '  The possible meanings with senseID are: ('moon_shot.noun.0', 'The launching of a spacecraft or an object to orbit or land on the Moon.'), ('moon_shot.noun.1', 'An act of throwing or hitting a ball with a high trajectory.'), ('moon_shot.noun.2', 'An expensive, hard, or unlikely task of great potential impact.')","Let's think step by step. 1. The ambiguous word is: <WSD>Moon shot</WSD>. 2. The possible meanings of ""Moon shot"" are: ('moon_shot.noun.0', 'The launching of a spacecraft or an object to orbit or land on the Moon.'), ('moon_shot.noun.1', 'An act of throwing or hitting a ball with a high trajectory.'), ('moon_shot.noun.2', 'An expensive, hard, or unlikely task of great potential impact.') 3. Now, let’s analyze the context of the sentence. The words surrounding ""Moon shot"" that are semantically related and can help identify its intended meaning are:    'Air', 'Force', 'w', 'attempted', 'August' 4. Based on the surrounding words and overall meaning, the correct sense is:""moon_shot.noun.0"":"" The launching of a spacecraft or an object to orbit or land on the Moon."",  ",moon_shot.noun.0,"'Air', 'Force', 'w', 'attempted', 'August'""","('moon_shot.noun.0', 'The launching of a spacecraft or an object to orbit or land on the Moon.'), ('moon_shot.noun.1', 'An act of throwing or hitting a ball with a high trajectory.'), ('moon_shot.noun.2', 'An expensive, hard, or unlikely task of great potential impact.')"
You are a linguistic assistant. Given a sentence with an ambiguous word marked with <WSD> tags ; identify its correct meaning using proper reasoning chain of thought process. ,"'order' is the word to be disambiguated in the sentence . Think step by step and do a proper reasoning to identiy  the meaning. The sentence is : ' ... which, to his <WSD>order</WSD> of mind, must have seemed little short of crime. '  The possible meanings with senseID are: ['('order.noun.0', 'Arrangement, disposition, or sequence.'), ('order.noun.1', 'A position in an arrangement, disposition, or sequence.'), ('order.noun.2', 'The state of being well arranged.'), ('order.noun.3', 'Conformity with law or decorum; freedom from disturbance; general tranquillity; public quiet.'), ('order.noun.4', 'A command.'), ('order.noun.5', 'A request for some product or service; a commission to purchase, sell, or supply goods.'), ('order.noun.6', 'A group of religious adherents, especially monks or nuns, set apart within their religion by adherence to a particular rule or set of principles'), ('order.noun.7', 'An association of knights'), ('order.noun.8', 'any group of people with common interests.'), ('order.noun.9', 'A decoration, awarded by a government, a dynastic house, or a religious body to an individual, usually for distinguished service to a nation or to humanity.'), ('order.noun.10', 'A rank in the classification of organisms, below class and above family; a taxon at that rank.'), ('order.noun.11', 'A number of things or persons arranged in a fixed or suitable place, or relative position; a rank; a row; a grade; especially, a rank or class in society; a distinct character, kind, or sort.'), ('order.noun.12', 'An ecclesiastical grade or rank, as of deacon, priest, or bishop; the office of the Christian ministry; often used in the plural.'), ('order.noun.13', 'The disposition of a column and its component parts, and of the entablature resting upon it, in classical architecture; hence (as the column and entablature are the characteristic features of classical architecture) a style or manner of architectural designing.'), ('order.noun.14', ""The sequence in which a side's batsmen bat; the batting order.""), ('order.noun.15', ""a power of polynomial function in an electronic circuit's block, such as a filter, an amplifier, etc.""), ('order.noun.16', 'The overall power of the rate law of a chemical reaction, expressed as a polynomial function of concentrations of reactants and products.'), ('order.noun.17', 'The cardinality, or number of elements in a set, group, or other structure regardable as a set.'), ('order.noun.18', 'For given group ""G"" and element ""g"" ∈ ""G"", the smallest positive natural number ""n"", if it exists, such that (using multiplicative notation), ""gn = e"", where ""e"" is the identity element of ""G""; ""if no such number exists, the element is said to be of '''infinite order''' (or sometimes '''zero order''').""'), ('order.noun.19', 'The number of vertices in a graph.'), ('order.noun.20', 'A partially ordered set.'), ('order.noun.21', 'The relation on a partially ordered set that determines that it is, in fact, a partially ordered set.'), ('order.noun.22', 'The sum of the exponents on the variables in a monomial, or the highest such among all monomials in a polynomial.'), ('order.noun.23', 'A written direction to furnish someone with money or property;  compare (money order), (postal order).'), ('order.noun.24', 'The (Order of the Arrow).')']","Let's think step by step. 1. The ambiguous word is: <WSD>order</WSD>. 2. The possible meanings of ""order"" are: ('order.noun.0', 'Arrangement, disposition, or sequence.'), ('order.noun.1', 'A position in an arrangement, disposition, or sequence.'), ('order.noun.2', 'The state of being well arranged.'), ('order.noun.3', 'Conformity with law or decorum; freedom from disturbance; general tranquillity; public quiet.'), ('order.noun.4', 'A command.'), ('order.noun.5', 'A request for some product or service; a commission to purchase, sell, or supply goods.'), ('order.noun.6', 'A group of religious adherents, especially monks or nuns, set apart within their religion by adherence to a particular rule or set of principles'), ('order.noun.7', 'An association of knights'), ('order.noun.8', 'any group of people with common interests.'), ('order.noun.9', 'A decoration, awarded by a government, a dynastic house, or a religious body to an individual, usually for distinguished service to a nation or to humanity.'), ('order.noun.10', 'A rank in the classification of organisms, below class and above family; a taxon at that rank.'), ('order.noun.11', 'A number of things or persons arranged in a fixed or suitable place, or relative position; a rank; a row; a grade; especially, a rank or class in society; a distinct character, kind, or sort.'), ('order.noun.12', 'An ecclesiastical grade or rank, as of deacon, priest, or bishop; the office of the Christian ministry; often used in the plural.'), ('order.noun.13', 'The disposition of a column and its component parts, and of the entablature resting upon it, in classical architecture; hence (as the column and entablature are the characteristic features of classical architecture) a style or manner of architectural designing.'), ('order.noun.14', ""The sequence in which a side's batsmen bat; the batting order.""), ('order.noun.15', ""a power of polynomial function in an electronic circuit's block, such as a filter, an amplifier, etc.""), ('order.noun.16', 'The overall power of the rate law of a chemical reaction, expressed as a polynomial function of concentrations of reactants and products.'), ('order.noun.17', 'The cardinality, or number of elements in a set, group, or other structure regardable as a set.'), ('order.noun.18', 'For given group ""G"" and element ""g"" ∈ ""G"", the smallest positive natural number ""n"", if it exists, such that (using multiplicative notation), ""gn = e"", where ""e"" is the identity element of ""G""; ""if no such number exists, the element is said to be of \'\'\'infinite order\'\'\' (or sometimes \'\'\'zero order\'\'\').""'), ('order.noun.19', 'The number of vertices in a graph.'), ('order.noun.20', 'A partially ordered set.'), ('order.noun.21', 'The relation on a partially ordered set that determines that it is, in fact, a partially ordered set.'), ('order.noun.22', 'The sum of the exponents on the variables in a monomial, or the highest such among all monomials in a polynomial.'), ('order.noun.23', 'A written direction to furnish someone with money or property;  compare (money order), (postal order).'), ('order.noun.24', 'The (Order of the Arrow).') 3. Now, let’s analyze the context of the sentence. The words surrounding ""order"" that are semantically related and can help identify its intended meaning are:    'short', 'mind', 'little', 'crime' 4. Based on the surrounding words and overall meaning, the correct sense is:""order.noun.11"":"" A number of things or persons arranged in a fixed or suitable place, or relative position; a rank; a row; a grade; especially, a rank or class in society; a distinct character, kind, or sort."",  ",order.noun.11,"'short', 'mind', 'little', 'crime'""","['('order.noun.0', 'Arrangement, disposition, or sequence.'), ('order.noun.1', 'A position in an arrangement, disposition, or sequence.'), ('order.noun.2', 'The state of being well arranged.'), ('order.noun.3', 'Conformity with law or decorum; freedom from disturbance; general tranquillity; public quiet.'), ('order.noun.4', 'A command.'), ('order.noun.5', 'A request for some product or service; a commission to purchase, sell, or supply goods.'), ('order.noun.6', 'A group of religious adherents, especially monks or nuns, set apart within their religion by adherence to a particular rule or set of principles'), ('order.noun.7', 'An association of knights'), ('order.noun.8', 'any group of people with common interests.'), ('order.noun.9', 'A decoration, awarded by a government, a dynastic house, or a religious body to an individual, usually for distinguished service to a nation or to humanity.'), ('order.noun.10', 'A rank in the classification of organisms, below class and above family; a taxon at that rank.'), ('order.noun.11', 'A number of things or persons arranged in a fixed or suitable place, or relative position; a rank; a row; a grade; especially, a rank or class in society; a distinct character, kind, or sort.'), ('order.noun.12', 'An ecclesiastical grade or rank, as of deacon, priest, or bishop; the office of the Christian ministry; often used in the plural.'), ('order.noun.13', 'The disposition of a column and its component parts, and of the entablature resting upon it, in classical architecture; hence (as the column and entablature are the characteristic features of classical architecture) a style or manner of architectural designing.'), ('order.noun.14', ""The sequence in which a side's batsmen bat; the batting order.""), ('order.noun.15', ""a power of polynomial function in an electronic circuit's block, such as a filter, an amplifier, etc.""), ('order.noun.16', 'The overall power of the rate law of a chemical reaction, expressed as a polynomial function of concentrations of reactants and products.'), ('order.noun.17', 'The cardinality, or number of elements in a set, group, or other structure regardable as a set.'), ('order.noun.18', 'For given group ""G"" and element ""g"" ∈ ""G"", the smallest positive natural number ""n"", if it exists, such that (using multiplicative notation), ""gn = e"", where ""e"" is the identity element of ""G""; ""if no such number exists, the element is said to be of '''infinite order''' (or sometimes '''zero order''').""'), ('order.noun.19', 'The number of vertices in a graph.'), ('order.noun.20', 'A partially ordered set.'), ('order.noun.21', 'The relation on a partially ordered set that determines that it is, in fact, a partially ordered set.'), ('order.noun.22', 'The sum of the exponents on the variables in a monomial, or the highest such among all monomials in a polynomial.'), ('order.noun.23', 'A written direction to furnish someone with money or property;  compare (money order), (postal order).'), ('order.noun.24', 'The (Order of the Arrow).')']"
